Title,description,authors,publisher,publishedDate,categories,ratingsCount
The Greatest Generation,"Focuses on the generation of Americans who were born in the 1920s, came of age during the Depression, fought in World War II, and came home to build a new America during the postwar era.",Tom Brokaw,Delta,2001-05,History,5.0
Till We Have Faces: A Myth Retold,"""Till We Have Faces"" is a retelling of a story about Cupid and Psyche. This story had haunted Lewis all his life, because he realized that some of the main characters' actions were illogical. As a consequence, his retelling of the story is characterized by a highly developed character, the narrator, with the reader being drawn into her reasoning and her emotions. This was his last novel, and he considered it his most mature, written in conjunction with his wife, Joy Davidman. The first part of the book is written from the perspective of Psyche's older sister Orual, as an accusation against the gods. The story is set in the fictive kingdom of Glome, a primitive city-state whose people have occasional contact with civilized Hellenistic Greece. In the second part of the book, the narrator undergoes a change of mindset (Lewis would use the term conversion) and understands that her initial accusation was tainted by her own failings and shortcomings, and that the gods are lovingly present in humans' lives. Clive Staples Lewis (1898-1963) was a British novelist, poet, academic, medievalist, lay theologian and Christian apologist. He is best known for his fictional work, especially The Screwtape Letters, The Chronicles of Narnia, and The Space Trilogy, and for his non-fiction Christian apologetics, such as Mere Christianity, Miracles, and The Problem of Pain.",C. S. Lewis,Musaicum Books,2017-04-20,Fiction,37.0
Gods and Kings (Chronicles of the Kings #1),"Gods and Kings is the story of King Hezekiah, heir to the throne of King David. When his evil father plots to sacrifice him, Hezekiah's mother, Abijah, searches frantically for a way to save him. But only two men can help her, and neither of them seems trustworthy. In a time and place engulfed by violence, treachery, and infidelity to Yahweh, Abijah and her son must discover the one true Source of strength if they are to save themselves and their country. Book 1 of Chronicles of the Kings.",Lynn Austin,Bethany House Publishers,2005-02-01,Fiction,68.0
Night,"Here is the wonderful new version of the classic poem every family should own. This edition of The Night Before Christmas lavishly illustrated by renowned artist Charles Santore, the critically-acclaimed illustrator of The Wizard of Oz, Snow White, The Little Mermaid, and others. This is a hardcover edition of the classic The Night Before Christmas, featuring a four-page gatefold and an embossed and foil-stamped cover. Since it was first published anonymously in 1823, The Night Before Christmas has enchanted children with the story of St. Nicholas climbing down the chimney and filling all the stockings before springing back to his sleigh. Many families read the poem every year, and now they have a beautiful hardcover edition to treasure. The cherished poem, faithfully reproduced here, is accompanied by Charles Santore’s stunning illustrations.",Clement Moore,Applesauce Press,2011-10-11,Juvenile Fiction,1.0
The Bonfire of the Vanities,"An exhilarating satire of Eighties excess that captures the effervescent spirit of New York, from one of the greatest writers of modern American prose. Sherman McCoy is a WASP, bond trader and self-appointed 'Master of the Universe'. He has a fashionable wife, a Park Avenue apartment and a Southern mistress. His spectacular fall begins the moment he is involved in a hit-and-run accident in the Bronx. Prosecutors, newspaper hacks, politicians and clergy close in on him, determined to bring him down. Exuberant, scandalous and exceptionally discerning, The Bonfire of the Vanities was Tom Wolfe's first venture into fiction and cemented his reputation as the foremost chronicler of his age. 'The air of New York crackles with an energy that causes the adrenalin to pump... The feeling is perfectly reproduced in Wolfe's novel... Electric' Sunday Times 'The quintessential novel of The Eighties' The Guardian",Tom Wolfe,Random House,2018-06-21,Fiction,54.0
Mere Christianity,"In the classic Mere Christianity, C.S. Lewis, the most important writer of the 20th century, explores the common ground upon which all of those of Christian faith stand together. Bringing together Lewis’ legendary broadcast talks during World War Two from his three previous books The Case for Christianity, Christian Behavior, and Beyond Personality, Mere Christianity provides an unequaled opportunity for believers and nonbelievers alike to hear this powerful apologetic for the Christian faith.",C. S. Lewis,Harper Collins,2009-06-02,Religion,205.0
Jude the Obscure,"Jude Fawley is a rural stone mason with intellectual aspirations. Frustrated by poverty and the indifference of the academic institutions at the University of Christminster, his only chance of fulfilment seems to lie in his relationship with his unconventional cousin, Sue Bridehead.",Thomas Hardy,Wordsworth Editions,1995,Fiction,1.0
Dress Your Family in Corduroy and Denim,"'No one has a turn of phrase like David Sedaris. This series of essays about his life and family is a joy from start to finish' Adam Kay David Sedaris plays in the snow with his sisters. He goes on vacation with his family. He gets a job selling drinks. He attends his brother's wedding. He mops his sister's floor. He gives directions to a lost traveller. He eats a hamburger. He has his blood sugar tested. It all sounds so normal, doesn't it? In his new book David Sedaris lifts the corner of ordinary life, revealing the absurdity teeming below its surface. His world is alive with obscure desires and hidden motives - a world where forgiveness is automatic and an argument can be the highest form of love. Dress Your Family in Corduroy and Denim finds one of the wittiest and most original writers at work today at the peak of his form.",David Sedaris,Hachette UK,2010-09-16,Humor,116.0
The Other Boleyn Girl,"The daughters of a ruthlessly ambitious family, Mary and Anne Boleyn are sent to the court of Henry VIII to attract the attention of the king, who first takes Mary as his mistress, in which role she bears him an illegitimate son, and then Anne as his wife. Reprint. 250,000 first printing. (A Columbia Pictures film, written by Peter Morgan, directed by Justin Chadwick, releasing Fall 2007, starring Natalie Portman, Scarlett Johansson, Eric Bana, and others) (Historical Fiction)",Philippa Gregory,Simon and Schuster,2008-01-22,Fiction,285.0
Lord of the flies,"William Golding’s unforgettable classic of boyhood adventure and the savagery of humanity comes to Penguin Classics in a stunning Graphic Deluxe Edition with a new foreword by Lois Lowry As provocative today as when it was first published in 1954, Lord of the Flies continues to ignite passionate debate with its startling, brutal portrait of human nature. William Golding’s compelling story about a group of very ordinary boys marooned on a coral island has been labeled a parable, an allegory, a myth, a morality tale, a parody, a political treatise, and even a vision of the apocalypse. But above all, it has earned its place as one of the indisputable classics of the twentieth century for readers of any age. This Penguin Classics Graphic Deluxe Edition features an array of special features to supplement the novel, including a foreword by Lois Lowry, an introduction by Stephen King, an essay by E. M. Forster, an essay on teaching and reading the novel and suggestions for further exploration by scholar Jennifer Buehler, and an extended note by E. L. Epstein, the publisher of the first American paperback edition of Lord of the Flies. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",William Golding,Penguin,2016-11-15,Fiction,2861.0
The Martian Way,"The deep. Roi's mission was vital to the very survival of his alien species. But to succeed, he must face an ordeal his race considered obscene--mothering ...",Isaac Asimov,Ballantine Books,1985,Fiction,7.0
Into the Wild (Warriors),"Join the legion of fans who have made Erin Hunter’s Warriors series a #1 national bestseller—with new editions featuring a striking new look! Epic adventures. Fierce warrior cats. A thrilling fantasy world. It all begins here with Warriors #1: Into the Wild. For generations, four Clans of wild cats have shared the forest according to the laws laid down by their ancestors. But the warrior code is threatened, and the ThunderClan cats are in grave danger. The sinister ShadowClan grows stronger every day. Noble warriors are dying—and some deaths are more mysterious than others. In the midst of this turmoil appears an ordinary housecat named Rusty…who may turn out to be the bravest warrior of them all. Supports the Common Core State Standards",Erin Hunter,HarperCollins,2015-03-17,Juvenile Fiction,2.0
The Talisman,"The iconic, “extraordinary” (The Washington Post) collaboration between bestselling authors Stephen King and Peter Straub—an epic thriller about a young boy’s quest to save his mother’s life. Jack Sawyer, twelve years old, is about to begin a most fantastic journey, an exalting, terrifying quest for the mystical Talisman—the only thing that can save Jack’s dying mother. But to reach his goal, Jack must make his way not only across the breadth of the United States but also through the wondrous and menacing parallel world of the Territories. In the Territories, Jack finds another realm, where the air is so sweet and clear a man can smell a radish being pulled from the ground a mile away—and a life can be snuffed out instantly in the continuing struggle between good and evil. Here Jack discovers “Twinners,” reflections of the people he knows on earth—most notably Queen Laura, the Twinner of Jack’s own imperiled mother. As Jack “flips” between worlds, making his way westward toward the redemptive Talisman, a sequence of heart-stopping encounters challenges him at every step. An unforgettable epic of adventure and resounding triumph, The Talisman is one of the most influential and highly praised works of fantasy ever written.","Stephen King, Peter Straub",Gallery Books,2018-04-17,Fiction,62.0
The Last Juror,"_______________________________________ Never make an enemy of a murderer. In 1970, the Ford County Times went bankrupt - and to the surprise and dismay of many, was bought by 23-year-old college dropout Willie Traynor. The paper's future was grim, until a young mother was brutally raped and murdered by a member of the notorious Padgitt family. Traynor reported all the gruesome details, and his newspaper prospered. The murderer, Danny Padgitt, was tried before a packed courtroom in Clanton, Mississippi. The trial came to a dramatic end when the defendant threatened revenge against the jurors if they convicted him. Despite his threats, they found him guilty, and he was sentenced to life in prison. But nine years later, his influential family get him paroled. And then, one by one, the jurors who convicted him start to fall victim to terrible murders... _______________________________________ ‘A master at the art of deft characterisation and the skilful delivery of hair-raising crescendos' – Irish Independent 'John Grisham is the master of legal fiction' – Jodi Picoult 'The best thriller writer alive' – Ken Follett ‘John Grisham has perfected the art of cooking up convincing, fast-paced thrillers’ – Telegraph ‘Grisham is a superb, instinctive storyteller’ – The Times ‘Grisham's storytelling genius reminds us that when it comes to legal drama, the master is in a league of his own.’ – Daily Record ‘Masterful – when Grisham gets in the courtroom he lets rip, drawing scenes so real they're not just alive, they're pulsating’ – Mirror ‘A giant of the thriller genre’ – TimeOut",John Grisham,Random House,2010-04-21,Fiction,43.0
"Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen: How One Girl Risked Her Marriage, Her Job, and Her ... Living","Pushing thirty, living in a rundown apartment in Queens and working at a dead-end secretarial job, Julie Powell is, in a word, stuck. In her desperate search for an escape, she comes up instead with The Project - a deranged assignment, to take her mother's dog-eared copy of Julia Child's 1961 classic Mastering the Art of French Cooking and cook all 524 recipes. In the span of one year.",Julie Powell,Viking,2005,"Cookery, French",5.0
The Lost Continent,"When a native of Iowa returns from England to wander across America's heartland in search of the perfect small town, the result is a string of hilarious anecdotes and biting social commentary",Bill Bryson,VNR AG,1989,Travel,2420.0
Stitch 'N Bitch Crochet: The Happy Hooker,"The New York Times–bestselling author of Stitch ’n Bitch conquers crochet with forty original patterns in her sassy, sexy, signature style—fully illustrated. Stitch ’n Bitch Crochet is chock-full of instruction, inspiration, and to-die-for designs, from lacy, sexy summer tops to chic, cozy sweaters, chunky, funky hats, and colorfully crafty afghans. And, as Debbie Stoller demonstrates with her easy-to-follow instructions, it all starts with the simple act of wrapping a hook around a strand of yarn. Full of color photographs and instructional illustrations, Stitch ’n Bitch Crochet is the perfect primer on knitting’s sister craft—from tools and uses for the different gauges to all the cool yarns available. She also takes you through basic techniques and stitch patterns including the chain stitch, picot, flowers, filet crochet, changing yarns, and finishing. Then come forty fabulous projects for everyone from beginners to experienced crocheters: A pom-pom capelet, a retro clutch purse, an “Anarchy Irony Hat,” an “Orange You Glad Bag,” a “Doris Daymat,” a beach-ready bikini, animal iPod cozies, a kid’s sock monkey afghan, and so much more! These are definitely not your grandma’s doilies.",Debbie Stoller,Workman Publishing,2006-02-13,Crafts & Hobbies,19.0
Finnegan's Wake,"A daring work of experimental, Modernist genius, James Joyce's Finnegans Wake is one of the greatest literary achievements of the twentieth century, and the crowning glory of Joyce's life. The Penguin Modern Classics edition of includes an introduction by Seamus Deane 'riverrun, past Eve and Adam's, from swerve of shore to bend of bay, brings us by a commodius vicus of recirculation back to Howth Castle and Environs' Joyce's final work, Finnegan's Wake is his masterpiece of the night as Ulysses is of the day. Supreme linguistic virtuosity conjures up the dark underground worlds of sexuality and dream. Joyce undermines traditional storytelling and all official forms of English and confronts the different kinds of betrayal - cultural, political and sexual - that he saw at the heart of Irish history. Dazzlingly inventive, with passages of great lyrical beauty and humour, Finnegans Wake remains one of the most remarkable works of the twentieth century. James Joyce (1882-1941), the eldest of ten children, was born in Dublin, but exiled himself to Paris at twenty as a rebellion against his upbringing. He only returned to Ireland briefly from the continent but Dublin was at heart of his greatest works, Ulysses and Finnegans Wake. He lived in poverty until the last ten years of his life and was plagued by near blindness and the grief of his daughter's mental illness. If you enjoyed Finnegans Wake, you might like Virginia Woolf's The Waves, also available in Penguin Classics. 'An extraordinary performance, a transcription into a miniaturized form of the whole western literary tradition' Seamus Deane",James Joyce,Penguin UK,2015-06-25,Fiction,24.0
"ERAGON: INHERITANCE, BOOK ONE.","One boy . . . One dragon . . . A world of adventure. When Eragon finds a polished stone in the forest, he thinks it is the lucky discovery of a poor farm boy; perhaps it will buy his family meat for the winter. But when the stone brings a dragon hatchling, Eragon soon realizes he has stumbled upon a legacy nearly as old as the Empire itself. Overnight his simple life is shattered and he is thrust into a perilous new world of destiny, magic and power. With only an ancient sword and the advice of an old storyteller for guidance, Eragon and the fledgling dragon must navigate the dangerous terrain and dark enemies of an Empire ruled by a king whose evil knows no bounds. Can Eragon take up the mantle of the legendary Dragon Riders? The fate of the Empire may rest in his hands...",Christopher Paolini,Random House,2005,Dragons,1.0
Why Men Love Bitches: From Doormat to Dreamgirl - A Woman's Guide to Holding Her Own in a Relationship,Describes why men are attracted to strong women and offers advice on ways a woman can relate to men and gain a man's love and respect.,Sherry Argov,Simon and Schuster,2002,Family & Relationships,36.0
"The Shelters Of Stone - The Earth's Children Series, Book 5","Originally published: New York: Crown, 2002.",Jean M. Auel,Bantam Books,2002,Fiction,3.0
Great Expectations,"Penguin Classics e-books give you the best possible editions of Charles Dickens's novels, including all the original illustrations, useful and informative introductions, the definitive, accurate text as it was meant to be published, a chronology of Dickens's life and notes that fill in the background to the book. This Penguin Classics edition of Great Expectations also includes Dickens's alternative ending to the novel. A terrifying encounter with an escaped convict in a graveyard on the wild Kent marshes; a summons to meet the bitter, decaying Miss Havisham and her beautiful, cold-hearted ward Estella; the sudden generosity of a mysterious benefactor - these form a series of events that change the orphaned Pip's life forever, and he eagerly abandons his humble origins to begin a new life as a gentleman. Dickens's haunting late novel depicts Pip's education and development through adversity as he discovers thetrue nature of his 'great expectations'.",Charles Dickens,Penguin UK,2003-01-30,Fiction,2.0
The cross and the switchblade,"The dramatic and inspiring true story of a small town minister called to help inner city kids everyone else believed were beyond hope... David Wilkerson was just a young preacher in the Pennsylvania hills when he was stunned by a new calling from God: go to New York City to speak to seven young gang members on trial for murder. But something much greater was to come. Once in New York, David was inspired to stay for a lifetime of helping troubled teenagers get free of drugs and crime. With the word of God in his ears, he founded an inner-city ministry still known as the Teen Challenge to change their paths and alter thousands of lives forever.","David Wilkerson, John Sherrill, Elizabeth Sherrill",Penguin,1986-11-15,Biography & Autobiography,19.0
The Plague,"A haunting tale of human resilience in the face of unrelieved horror, Camus' novel about a bubonic plague ravaging the people of a North African coastal town is a classic of twentieth-century literature.",Albert Camus,Vintage,1991,Fiction,4.0
The Heart is a Lonely Hunter,"The Heart is a Lonely Hunter was Carson McCullers' first novel, written in 1940. Set in a small town in the American South, it is the story of a group of people who have little in common except that they are all hopelessly lonely. A young girl, a drunken socialist and a black doctor are drawn to a gentle, sympathetic deaf mute, whose presence changes their lives. This powerful exploration of alienation is both moving and perceptive.",Carson McCullers,Penguin UK,2012-04-26,Fiction,9.0
Something Wicked This Way Comes,Two boys' lives are changed forever when a sinister travelling carnival stops at their Illinois town.,Ray Bradbury,Simon and Schuster,2017-10-24,Fiction,11.0
An inquiry into the nature and causes of the wealth of nations,"The annual labour of every nation is the fund which originally supplies it with all the necessaries and conveniencies of life which it annually consumes, and which consist always either in the immediate produce of that labour, or in what is purchased with that produce from other nations. According, therefore, as this produce, or what is purchased with it, bears a greater or smaller proportion to the number of those who are to consume it, the nation will be better or worse supplied with all the necessaries and conveniencies for which it has occasion.",Adam Smith,London : Printed for W. Strahan and T. Cadell,1776,Capitalism,8.0
Robert Louis Stevenson's Treasure island,"“Yo-ho-ho and a bottle of rum.” —Robert Louis Stevenson, Treasure Island Perhaps the most iconic pirate story of all time, Treasure Island was written by Robert Louis Stevenson in 1881. The book follows young Jim Hawkins who finds himself in possession of a treasure map and embarks on a journey to unearth the pirate booty. His adventure takes him through the turbulent waters of morality, and his subsequent coming of age has captivated generations of readers. Rousing and full of adventure, Stevenson’s Treasure Island is a classic to be enjoyed by readers of all ages. Now available as part of the Word Cloud Classics series, it makes a chic and affordable addition to any library.",Robert Louis Stevenson,Canterbury Classics,2014-11-01,Fiction,2.0
Casting the First Stone,"Readers and critics alike can’t resist New York Times bestselling author Kimberla Lawson Roby’s beloved Reverend Curtis Black series. Now the classic novel that introduced the trials and triumphs of a church family and their congregation is available in a beautiful new edition—and includes a letter from the author. Tanya Black has everything a woman could want: a fulfilling career, a beautiful daughter, an elegant home, and a handsome, charismatic husband who is pastor of a prominent Baptist church. And yet, none of it can hide the growing turbulence in her marriage. Her husband, Reverend Curtis Black, once a loving, devoted, and passionate partner, has grown remote, and Tanya is thrown into doubt about what she once cherished. When she uncovers disturbing truths, confirming scandalous rumors about Curtis, she questions all that she’s ever believed in. But it is when Tanya is dealt the worst kind of betrayal a woman can face that her life is changed forever. Plunged into a bittersweet journey of discovery, she finds herself learning painful new lessons about love, loyalty—and sensual temptation—and is forced to make some very hard decisions for her daughter, herself, and her future.",Kimberla Lawson Roby,Lenox Press,2018-06-25,Fiction,13.0
Never Cry Wolf,The classic of nature writing--the spellbinding story of adventures among arctic wolves--is now available in a new paperback edition.,Farley Mowat,Bantam,1983,Animal behavior,34.0
"The legend of Sleepy Hollow,","A superstitious schoolmaster, in love with a wealthy farmer's daughter, has a terrifying encounter with a headless horseman.",Washington Irving,Simon and Schuster,2007-08-07,Juvenile Fiction,6.0
"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto","Explores a range of modern cultural phenomenon, including Internet pornography, tribute bands, baseball rivalries, and reality television.",Chuck Klosterman,Simon and Schuster,2004-06-22,Humor,109.0
The Bread Lover's Bread Machine Cookbook: A Master Baker's 300 Favorite Recipes for Perfect-Every-Time Bread-From Every Kind of Machine,"The author, a ""master baker,"" reveals how she transcended her skepticism over bread machines and discusses the wide variety of techniques and breads available to home bakers. Simultaneous.",Beth Hensperger,Harvard Common Press,2000-04-30,Cooking,26.0
Alice's Adventures in Wonderland and Through the Looking Glass (Classic Collection),"Everything that Lewis Carroll ever published in book form appears in this volume. In addition, at least ten of the shorter pieces have never appeared in print except in their original editions. Included are: Alice's Adventures in Wonderland, Through the Looking-Glass, Sylvie and Bruno, Sylvie and Bruno Concluded, The Hunting of the Snark and all of the poetry, essays and phantasmagoria along with a substantial collection of his miscellaneous writings. Alice's Adventures in Wonderland & Other Stories is part of Barnes & Noble's series of quality leatherbound volumes. Each title in the series presents a classic work in an attractively designed edition bound in genuine bonded leather, with beautiful illustrations and breathtaking endpapers. These books make elegant additions to any home library.",Lewis Carroll,Barnes & Noble Incorporated,2010-11-01,Fantasy,1.0
Gone with the Wind (The Margaret Mitchell Anniversary Edition),"'My dear, I don't give a damn.' Margaret Mitchell’s page-turning, sweeping American epic has been a classic for over eighty years. Beloved and thought by many to be the greatest of the American novels, Gone with the Wind is a story of love, hope and loss set against the tense historical background of the American Civil War. The lovers at the novel’s centre – the selfish, privileged Scarlett O’Hara and rakish Rhett Butler – are magnetic: pulling readers into the tangled narrative of a struggle to survive that cannot be forgotten. WINNER OF NATIONAL BOOK AWARD AND PULITZER PRIZE 'For sheer readability I can think of nothing it must give way before' The New Yorker 'What makes some people come through catastrophes and others, apparently just as able, strong, and brave, go under?’ Margaret Mitchell",Margaret Mitchell,Random House,2020-01-02,Fiction,2993.0
The Fires Of Heaven (Turtleback School & Library Binding Edition) (Wheel of Time (Pb)),"For use in schools and libraries only. Rand, the Dragon Reborn, defends himself against the many Aiel who reject him and ignites the purging fires of prophecy.",Robert Jordan,Turtleback,1994-10-01,Fiction,38.0
Breakfast of Champions,"Discover Vonnegurt’s funny absurdist novel about the human condition. ‘Outrageous, witty, thought-provoking, unputdownable, scintillating, invigorating, ennobling, enlightening and masterly’ Spectator In a frolic of cartoon and comic outbursts against rule and reason, a miraculous weaving of science fiction, memoir, parable, fairy tale and farce, Kurt Vonnegut attacks the whole spectrum of American society, releasing some of his best-loved literary creations on the scene. ‘Vonnegut explains everything from an apple to the pyramids...weird, fast and inventive’ Daily Telegraph",Kurt Vonnegut,Random House,2010-09-30,Fiction,1.0
The Princess Bride,"In a twenty-fifth anniversary, behind-the-scenes account of the making of the cult classic film, the lead actor shares never-before-told stories and exclusive photographs as well as interviews with fellow actors and producers of the film.","Cary Elwes, Joe Layden",Simon and Schuster,2016-10-04,Biography & Autobiography,34.0
Collapse: How Societies Choose to Fail or Succeed,"In Jared Diamond’s follow-up to the Pulitzer-Prize winning Guns, Germs and Steel, the author explores how climate change, the population explosion and political discord create the conditions for the collapse of civilization. Diamond is also the author of Upheaval: Turning Points for Nations in Crisis Environmental damage, climate change, globalization, rapid population growth, and unwise political choices were all factors in the demise of societies around the world, but some found solutions and persisted. As in Guns, Germs, and Steel, Diamond traces the fundamental pattern of catastrophe, and weaves an all-encompassing global thesis through a series of fascinating historical-cultural narratives. Collapse moves from the Polynesian cultures on Easter Island to the flourishing American civilizations of the Anasazi and the Maya and finally to the doomed Viking colony on Greenland. Similar problems face us today and have already brought disaster to Rwanda and Haiti, even as China and Australia are trying to cope in innovative ways. Despite our own society’s apparently inexhaustible wealth and unrivaled political power, ominous warning signs have begun to emerge even in ecologically robust areas like Montana. Brilliant, illuminating, and immensely absorbing, Collapse is destined to take its place as one of the essential books of our time, raising the urgent question: How can our world best avoid committing ecological suicide?",Jared Diamond,Penguin,2011-01-04,History,9.0
The Chosen,"An overview of the work features a biographical sketch of the author, a list of characters, a summary of the plot, and critical and analytical views of the work.",Harold Bloom,Infobase Publishing,2005,Juvenile Nonfiction,4.0
